Prime Number,Time
10391,0.000516
10399,0.0005139999999999999
10427,0.000512
10429,0.0005780000000000001
10433,0.000615
10453,0.000775
10457,0.000606
10459,0.000533
10463,0.000519
10477,0.000525
10487,0.000517
10499,0.000518
10501,0.000513
10513,0.000521
10529,0.000519
10531,0.0005200000000000001
10559,0.000542
10567,0.0005200000000000001
10589,0.000413
10597,0.000953
10601,0.000543
10607,0.000493
10613,0.0007480000000000001
10627,0.000529
10631,0.000525
10639,0.0005269999999999999
10651,0.000524
10657,0.000524
10663,0.000523
10667,0.00053
10687,0.000522
10691,0.0005679999999999999
10709,0.000531
10711,0.000452
10723,0.000532
10729,0.0005269999999999999
10733,0.0005269999999999999
10739,0.000528
10753,0.000544
10771,0.000529
10781,0.000529
10789,0.00053
10799,0.000536
10831,0.000558
10837,0.000563
10847,0.000601
10853,0.0007509999999999999
10859,0.000712
10861,0.000721
10867,0.000539
10883,0.00058
10889,0.000535
10891,0.000541
10903,0.00054
10909,0.000542
10937,0.000533
10939,0.0005639999999999999
10949,0.0005
10957,0.000644
10973,0.000642
10979,0.000591
10987,0.000536
10993,0.000543
11003,0.00054
11027,0.000533
11047,0.000536
11057,0.000536
11059,0.000537
11069,0.000539
11071,0.000536
11083,0.000536
11087,0.00057
11093,0.000758
11113,0.0006129999999999999
11117,0.0006360000000000001
11119,0.00057
11131,0.000552
11149,0.0005480000000000001
11159,0.0005480000000000001
11161,0.00055
11171,0.0005480000000000001
11173,0.000549
11177,0.000559
11197,0.0005549999999999999
11213,0.0005480000000000001
11239,0.00057
11243,0.000567
11251,0.000657
11257,0.0006450000000000001
11261,0.000715
11273,0.000676
11279,0.000634
11287,0.000637
11299,0.0006360000000000001
11311,0.000695
11317,0.000638
11321,0.0006349999999999999
11329,0.000674
11351,0.000708
11353,0.000735
11369,0.000676
11383,0.00064
11393,0.0005639999999999999
11399,0.0005650000000000001
11411,0.000567
11423,0.0005650000000000001
11437,0.000562
11443,0.000567
11447,0.0005650000000000001
11467,0.0005690000000000001
11471,0.0005639999999999999
11483,0.000563
11489,0.0005650000000000001
11491,0.000579
11497,0.0008269999999999999
11503,0.000638
11519,0.00064
11527,0.000637
11549,0.0006580000000000001
11551,0.00061
11579,0.00057
11587,0.000566
11593,0.000573
11597,0.00057
11617,0.000576
11621,0.000657
11633,0.0006580000000000001
11657,0.000736
11677,0.000647
11681,0.000579
11689,0.000535
11699,0.000536
11701,0.0006889999999999999
11717,0.000675
11719,0.000667
11731,0.000668
11743,0.000663
11777,0.000664
11779,0.000668
11783,0.000663
11789,0.000681
11801,0.000656
11807,0.000661
11813,0.000663
11821,0.00067
11827,0.000672
11831,0.000684
11833,0.000676
11839,0.000674
11863,0.00067
11867,0.0006730000000000001
11887,0.000668
11897,0.000726
11903,0.000811
11909,0.000824
11923,0.00078
11927,0.00079
11933,0.000592
11939,0.0005809999999999999
11941,0.000681
11953,0.000683
11959,0.000685
11969,0.00059
11971,0.000591
11981,0.000599
11987,0.0006
12007,0.000718
12011,0.000728
12037,0.000612
12041,0.000849
12043,0.000605
12049,0.000717
12071,0.0006730000000000001
12073,0.0006
12097,0.000595
12101,0.000595
12107,0.0006360000000000001
12109,0.000602
12113,0.000598
12119,0.0008060000000000001
12143,0.00057
12149,0.0004860000000000001
12157,0.000476
12161,0.0005780000000000001
12163,0.000594
12197,0.0006
12203,0.0006
12211,0.000604
12227,0.000601
12239,0.000605
12241,0.000989
12251,0.0008560000000000001
12253,0.000781
12263,0.000478
12269,0.000732
12277,0.000737
12281,0.000601
12289,0.000603
12301,0.000607
12323,0.000616
12329,0.000609
12343,0.00061
12347,0.000596
12373,0.000604
12377,0.000625
12379,0.000614
12391,0.000722
12401,0.000904
12409,0.0007030000000000001
12413,0.0007070000000000001
12421,0.000769
12433,0.0008410000000000001
12437,0.000722
12451,0.0007099999999999999
12457,0.000705
12473,0.000697
12479,0.0008470000000000001
12487,0.000939
12491,0.0006360000000000001
12497,0.0007059999999999999
12503,0.000776
12511,0.000708
12517,0.0006190000000000001
12527,0.000752
12539,0.000667
12541,0.0006230000000000001
12547,0.000618
12553,0.0006190000000000001
12569,0.000997
12577,0.0008640000000000001
12583,0.000785
12589,0.000709
12601,0.014944999999999996
12611,0.001
12613,0.000737
12619,0.000781
12637,0.000717
12641,0.000609
12647,0.000608
12653,0.00061
12659,0.000598
12671,0.000604
12689,0.001353
12697,0.000585
12703,0.000935
12713,0.000859
12721,0.000811
12739,0.0007469999999999999
12743,0.000743
